"tick","# of Humans","# of Zombies"
227.0,85,20
228.0,85,20
229.0,85,20
230.0,85,20
231.0,85,20
232.0,85,20
233.0,85,20
234.0,85,20
235.0,85,20
236.0,85,20
237.0,83,22
238.0,83,22
239.0,83,22
240.0,83,22
241.0,82,23
242.0,82,23
243.0,82,23
244.0,82,23
245.0,82,23
246.0,82,23
247.0,82,23
248.0,82,23
249.0,81,24
250.0,81,24
251.0,81,24
252.0,81,24
253.0,80,25
254.0,80,25
255.0,79,26
256.0,79,26
257.0,79,26
258.0,79,26
259.0,78,27
260.0,78,27
261.0,78,27
262.0,78,27
263.0,78,27
264.0,78,27
265.0,78,27
266.0,78,27
267.0,77,28
268.0,77,28
269.0,77,28
270.0,77,28
271.0,77,28
272.0,77,28
273.0,77,28
274.0,77,28
275.0,77,28
276.0,77,28
277.0,77,28
278.0,77,28
279.0,77,28
280.0,77,28
281.0,77,28
282.0,77,28
283.0,77,28
284.0,77,28
285.0,77,28
286.0,77,28
287.0,77,28
288.0,77,28
289.0,77,28
290.0,77,28
291.0,77,28
292.0,77,28
293.0,77,28
294.0,77,28
295.0,76,29
296.0,76,29
297.0,76,29
298.0,76,29
299.0,76,29
300.0,76,29
301.0,76,29
302.0,76,29
303.0,75,30
304.0,75,30
305.0,75,30
306.0,75,30
307.0,75,30
308.0,75,30
309.0,71,34
310.0,71,34
311.0,71,34
312.0,71,34
313.0,70,35
314.0,70,35
315.0,70,35
316.0,70,35
317.0,70,35
318.0,70,35
319.0,70,35
320.0,70,35
321.0,70,35
322.0,70,35
323.0,68,37
324.0,68,37
325.0,68,37
326.0,68,37
327.0,68,37
328.0,68,37
329.0,68,37
330.0,68,37
331.0,68,37
332.0,68,37
333.0,68,37
334.0,68,37
335.0,67,38
336.0,67,38
337.0,67,38
338.0,67,38
339.0,67,38
340.0,67,38
341.0,66,39
342.0,66,39
343.0,66,39
344.0,66,39
345.0,66,39
346.0,66,39
347.0,66,39
348.0,66,39
349.0,64,41
350.0,64,41
351.0,63,42
352.0,63,42
353.0,62,43
354.0,62,43
355.0,62,43
356.0,62,43
357.0,61,44
358.0,61,44
359.0,60,45
360.0,60,45
361.0,56,49
362.0,56,49
363.0,55,50
364.0,55,50
365.0,54,51
366.0,54,51
367.0,53,52
368.0,53,52
369.0,51,54
370.0,51,54
371.0,49,56
372.0,49,56
373.0,48,57
374.0,48,57
375.0,48,57
376.0,48,57
377.0,48,57
378.0,48,57
379.0,48,57
380.0,48,57
381.0,47,58
382.0,47,58
383.0,46,59
384.0,46,59
385.0,46,59
386.0,46,59
387.0,45,60
388.0,45,60
389.0,43,62
390.0,43,62
391.0,43,62
392.0,43,62
393.0,43,62
394.0,43,62
395.0,43,62
396.0,43,62
397.0,43,62
398.0,43,62
399.0,42,63
400.0,42,63
401.0,40,65
402.0,40,65
403.0,39,66
404.0,39,66
405.0,39,66
406.0,39,66
407.0,39,66
408.0,39,66
409.0,37,68
410.0,37,68
411.0,37,68
412.0,37,68
413.0,36,69
414.0,36,69
415.0,36,69
416.0,36,69
417.0,35,70
418.0,35,70
419.0,35,70
420.0,35,70
421.0,34,71
422.0,34,71
423.0,34,71
